expiry,ttm_years,type,spot,strike,rfr,div_yield,iv,bid,ask,mid_mkt,bs_price,mc_price,mc_ci_lo,mc_ci_hi,cn_price,bs_vs_mkt,mc_vs_mkt,cn_vs_mkt,delta,gamma,vega,theta,rho,oi,volume
2026-02-20,0.00547945205479,call,682.849975586,683,0.0359299993515,0.0105,0.200996759644,4.85,4.89,4.87,4.02567570731,4.02006480073,3.95273478458,4.08739481689,3.78880910299,-0.844324292685,-0.849935199269,-1.08119089701,0.500784903408,0.0392646070737,0.201640627107,-1.03665637664,0.0185170018279,5113,8665
2026-02-20,0.00547945205479,call,682.849975586,684,0.0359299993515,0.0105,0.196785375977,4.28,4.31,4.295,3.46596868804,3.46011872549,3.39809314225,3.52214430874,3.34577311074,-0.829031311959,-0.834881274507,-0.949226889263,0.460673548638,0.0399102353825,0.200661861917,-1.00875835765,0.0170468467262,4610,14900
2026-02-20,0.00547945205479,call,682.849975586,685,0.0359299993515,0.0105,0.192329854126,3.73,3.76,3.745,2.94288615926,2.93628514647,2.8796595285,2.99291076443,2.90510372997,-0.802113840743,-0.808714853531,-0.83989627003,0.419189836417,0.0401898280015,0.197492486342,-0.969245790176,0.0155233360769,15452,24885
2026-02-20,0.00547945205479,call,682.849975586,686,0.0359299993515,0.0105,0.188118470459,3.22,3.25,3.235,2.4681658882,2.46115874801,2.40983429562,2.51248320041,2.47742450547,-0.766834111798,-0.773841251988,-0.75757549453,0.376911972596,0.0399403670164,0.191969050988,-0.920511730511,0.0139674611177,6059,4810
2026-02-20,0.00547945205479,call,682.849975586,687,0.0359299993515,0.0105,0.183540879517,2.74,2.77,2.755,2.03173271991,2.02445428915,1.97849778617,2.07041079214,2.05173472437,-0.723267280086,-0.730545710845,-0.703265275628,0.333970505193,0.0392201095147,0.183920160878,-0.859610348053,0.0123846585533,4137,6323
2026-02-20,0.00547945205479,call,682.849975586,688,0.0359299993515,0.0105,0.178963288574,2.3,2.33,2.315,1.64212880115,1.63342787421,1.59272697406,1.67412877435,1.63621622541,-0.672871198854,-0.681572125792,-0.678783774587,0.291130867317,0.0379080824656,0.173333894918,-0.789198998503,0.0108031001007,6358,5907
2026-02-20,0.00547945205479,call,682.849975586,689,0.0359299993515,0.0105,0.173958455811,1.9,1.92,1.91,1.29316174183,1.28392474033,1.24846703258,1.31938244808,1.22527237964,-0.616838258166,-0.626075259667,-0.684727620356,0.248545561205,0.0360266141358,0.160124106569,-0.708070815898,0.00922883115941,5390,6212
2026-02-20,0.00547945205479,call,682.849975586,690,0.0359299993515,0.0105,0.168770519409,1.53,1.55,1.54,0.990202916743,0.981954329889,0.951587936193,1.01232072359,0.881077695417,-0.549797083257,-0.558045670111,-0.658922304583,0.207128589137,0.0335096590975,0.144495500715,-0.619421186064,0.00769575611608,20929,29834
2026-02-20,0.00547945205479,call,682.849975586,691,0.0359299993515,0.0105,0.163826721191,1.21,1.23,1.22,0.738827193422,0.732320930729,0.706700101421,0.757941760036,0.720236679731,-0.481172806578,-0.487679069271,-0.499763320269,0.16831359077,0.0303630060573,0.127091712979,-0.528460255585,0.00625721118656,5111,7392
2026-02-20,0.00547945205479,call,682.849975586,692,0.0359299993515,0.0105,0.158211542969,0.92,0.94,0.93,0.525929595743,0.521215515198,0.500210160913,0.542220869483,0.567235624231,-0.404070404257,-0.408784484802,-0.362764375769,0.131601456469,0.0266770919396,0.10783615126,-0.432732264409,0.00489523954746,7986,6949
2026-02-20,0.00547945205479,call,682.849975586,693,0.0359299993515,0.0105,0.15284050293,0.68,0.7,0.69,0.360483978158,0.35737088322,0.340508299332,0.374233467109,0.433244945309,-0.329516021842,-0.33262911678,-0.256755054691,0.0991853147187,0.0225807234732,0.088178770304,-0.34161544577,0.00369140853457,7166,6178
2026-02-20,0.00547945205479,call,682.849975586,694,0.0359299993515,0.0105,0.147957739258,0.49,0.51,0.5,0.238563254154,0.236284182431,0.222990410113,0.249577954748,0.318468987187,-0.261436745846,-0.263715817569,-0.181531012813,0.0720522390608,0.0183557918872,0.0693902639705,-0.260075065977,0.00268286610572,6135,5072
2026-02-20,0.00547945205479,call,682.849975586,695,0.0359299993515,0.0105,0.142342561035,0.34,0.35,0.345,0.146008250589,0.14412721983,0.134098180946,0.154156258714,0.213880391256,-0.198991749411,-0.20087278017,-0.131119608744,0.0489245535805,0.0140876137183,0.0512341974715,-0.184633384766,0.00182258202561,29982,21440
2026-02-20,0.00547945205479,call,682.849975586,696,0.0359299993515,0.0105,0.138192211914,0.23,0.24,0.235,0.0884310117409,0.0868233240888,0.0792369177527,0.094409730425,0.130455130526,-0.146568988259,-0.148176675911,-0.104544869474,0.0324494982889,0.0103941655259,0.0366995656692,-0.128324933731,0.00120929907412,11614,10033
2026-02-20,0.00547945205479,call,682.849975586,697,0.0359299993515,0.0105,0.134286000977,0.15,0.16,0.155,0.0509603121735,0.0498559843424,0.0442172887494,0.0554946799354,0.0690955929478,-0.104039687827,-0.105144015658,-0.0859044070522,0.0204581180359,0.00727141522992,0.0249480964227,-0.0847227809992,0.000762677539133,10373,15517
2026-02-20,0.00547945205479,put,682.849975586,642,0.0359299993515,0.0105,0.317389638672,0.1,0.11,0.105,0.020582765824,0.0217046922054,0.0162094943642,0.0271998900466,0.0266208549096,-0.084417234176,-0.0832953077946,-0.0783791450904,-0.00410492968344,0.000755767397981,0.00612870371076,-0.0484323582501,-0.00015471966575,3430,394
