N,price_est,rel_err,p_ref
1000,10.37682868804935,0.1341507919150373,9.14942595113641
1225,10.27078760781679,0.1225608756952779,9.14942595113641
1375,9.916283307218619,0.08381480545093226,9.14942595113641
1501,9.943921162690756,0.08683552561630013,9.14942595113641
1750,9.881102159669434,0.07996963005554963,9.14942595113641
1840,9.827123370895375,0.07406993874569713,9.14942595113641
2125,9.751515475409418,0.06580626232602337,9.14942595113641
2254,9.804632280324387,0.07161174183901643,9.14942595113641
2500,9.711487065122252,0.06143129820248797,9.14942595113641
2762,9.637735084182863,0.05337046669969522,9.14942595113641
2875,9.720463823733928,0.06241242627102656,9.14942595113641
3250,9.672890338857767,0.0572128120952048,9.14942595113641
3384,9.595497418772815,0.04875403877999596,9.14942595113641
3625,9.578590688169507,0.04690619273002512,9.14942595113641
4000,9.493928582300395,0.03765292303624757,9.14942595113641
4146,9.480956869796334,0.03623516059155012,9.14942595113641
4375,9.41931674602726,0.02949811237691128,9.14942595113641
4750,9.432386258946245,0.03092656406216286,9.14942595113641
5080,9.471812517583979,0.03523571513331144,9.14942595113641
5125,9.472606507043714,0.03532249538203695,9.14942595113641
5500,9.485931818553924,0.036778904951487,9.14942595113641
5875,9.46017912198508,0.03396422600808886,9.14942595113641
6225,9.47060286640103,0.03510350452366128,9.14942595113641
6250,9.477329807563651,0.03583873547678843,9.14942595113641
6625,9.414896606739589,0.02901500673604626,9.14942595113641
7000,9.405537788890237,0.0279921209397861,9.14942595113641
7375,9.362112707893809,0.02324591268274953,9.14942595113641
7627,9.303788295327811,0.01687126001300976,9.14942595113641
7750,9.296592963592554,0.01608483562161244,9.14942595113641
8125,9.278594470590038,0.01411766379043541,9.14942595113641
8500,9.242601307136836,0.01018373791951976,9.14942595113641
8875,9.204867794104073,0.006059597975190734,9.14942595113641
9250,9.199640144122011,0.005488234262321603,9.14942595113641
9345,9.228493555677925,0.008641810422182291,9.14942595113641
9625,9.241026298824359,0.01001159506368506,9.14942595113641
10000,9.211280826009467,0.006760519753195569,9.14942595113641
11450,9.152717566193534,0.0003597619210979502,9.14942595113641
14030,9.164951173804216,0.001696852103150568,9.14942595113641
17191,9.143505054588816,0.0006471331184288992,9.14942595113641
21063,9.053036965531465,0.01053497630558695,9.14942595113641
25809,9.09957562774418,0.005448464598594618,9.14942595113641
31623,9.137465461654363,0.001307239333475412,9.14942595113641
38747,9.171970233276173,0.00246401055762015,9.14942595113641
47476,9.193056339447944,0.004768647622763173,9.14942595113641
58171,9.227626460046588,0.008547039926637776,9.14942595113641
71276,9.219407827153193,0.007648772326321831,9.14942595113641
87333,9.199792782994134,0.005504917152913682,9.14942595113641
107007,9.192329419377204,0.004689197821800574,9.14942595113641
131113,9.203062008279991,0.005862231950947649,9.14942595113641
160651,9.187724222855305,0.004185866077656893,9.14942595113641
196842,9.166015883643732,0.001813221134956789,9.14942595113641
241186,9.166440043867933,0.001859580352077738,9.14942595113641
295521,9.179658701076645,0.003304332982385728,9.14942595113641
362096,9.195669489924176,0.005054255757108256,9.14942595113641
443669,9.185021646955448,0.003890484059780545,9.14942595113641
543618,9.172982750567913,0.002574675127960073,9.14942595113641
666085,9.16504424664374,0.001707024636380672,9.14942595113641
800000,9.163789196541391,0.001569852084894696,9.14942595113641
808333,9.164626124511633,0.001661325361438186,9.14942595113641
816140,9.165796942802791,0.001789291672921607,9.14942595113641
816666,9.166030223031431,0.001814788379478483,9.14942595113641
824999,9.164836424001159,0.001684310354228859,9.14942595113641
833332,9.163630031765909,0.00155245593607266,9.14942595113641
841665,9.164283093298856,0.001623833259244099,9.14942595113641
849998,9.164088468613384,0.001602561467274719,9.14942595113641
858331,9.162228410208719,0.001399263641312881,9.14942595113641
866664,9.163205207561754,0.001506024148283646,9.14942595113641
874997,9.162080287052973,0.001383074302600554,9.14942595113641
883330,9.161590782577546,0.001329573189192895,9.14942595113641
891663,9.1628692383778,0.001469303900942615,9.14942595113641
899996,9.163419691207595,0.001529466454608304,9.14942595113641
908329,9.161593967380663,0.001329921276945432,9.14942595113641
916662,9.161166492505831,0.001283199780196437,9.14942595113641
924995,9.15849366691107,0.0009910693657818556,9.14942595113641
933328,9.155503925448393,0.0006643011642963794,9.14942595113641
941661,9.154662252248045,0.0005723092508317226,9.14942595113641
949994,9.153757205917424,0.0004733908776513599,9.14942595113641
958327,9.15507303599391,0.0006172064660295893,9.14942595113641
966660,9.157880568646041,0.0009240598869026619,9.14942595113641
974993,9.158398117799196,0.0009806261847140551,9.14942595113641
983326,9.157438856578576,0.0008757823151922704,9.14942595113641
991659,9.155690067046484,0.0006846457847222879,9.14942595113641
999992,9.154587550122502,0.0005641445718734881,9.14942595113641
1000000,9.154563112926509,0.000561473672505211,9.14942595113641
