Date,SPY,XLB,XLC,XLE,XLF,XLI,XLK,XLP,XLRE,XLU,XLV,XLY
2007-01-31,101.0682601928711,12.033317565917969,,16.406877517700195,20.751277923583984,24.767980575561523,9.23737621307373,16.05352020263672,,9.463400840759277,24.834758758544922,15.477270126342773
2007-02-28,99.08556365966797,12.355311393737793,,16.070772171020508,20.118886947631836,24.490779876708984,8.988245010375977,15.806538581848145,,9.965149879455566,24.259052276611328,15.014450073242188
2007-03-31,99.83784484863281,12.630836486816406,,17.025419235229492,19.939800262451172,24.636301040649414,9.077777862548828,16.05352020263672,,10.267749786376953,24.21587371826172,14.916390419006348
2007-04-30,104.67374420166016,12.836506843566895,,17.956867218017578,20.799297332763672,25.835546493530273,9.505974769592285,16.587200164794922,,10.830238342285156,26.08335304260254,15.297127723693848
2007-05-31,108.22428131103516,13.594329833984375,,19.353866577148438,21.29947280883789,27.175939559936523,9.984776496887207,16.81117820739746,,10.879638671875,26.53117561340332,15.756855010986328
2007-06-30,106.18435668945312,13.46137809753418,,19.54938507080078,20.332839965820312,27.113433837890625,9.965311050415039,16.375314712524414,,10.291974067687988,25.505470275878906,15.454298973083496
2007-07-31,103.30301666259766,13.161438941955566,,19.608985900878906,18.590595245361328,27.440908432006836,9.95283317565918,16.0071964263916,,9.949469566345215,24.422931671142578,14.564432144165039
2007-08-31,104.62864685058594,13.071292877197266,,19.844867706298828,19.070898056030273,27.447860717773438,10.143712997436523,16.384841918945312,,10.106568336486816,24.982128143310547,14.6549711227417
2007-09-30,108.16619110107422,14.059568405151367,,21.257291793823242,19.39298439025879,28.603717803955078,10.50598430633545,17.042667388916016,,10.420761108398438,25.67203712463379,14.497514724731445
2007-10-31,110.15376281738281,14.710975646972656,,21.854595184326172,19.20060920715332,28.37739372253418,11.085142135620117,17.40097999572754,,11.193017959594727,26.242525100708008,14.455047607421875
2007-11-30,105.88721466064453,13.9697265625,,20.934255599975586,17.64657974243164,27.572620391845703,10.24985408782959,17.878719329833984,,11.266850471496582,26.577760696411133,13.666237831115723
2007-12-31,104.14208221435547,13.986499786376953,,22.609668731689453,16.468238830566406,27.404664993286133,10.405982971191406,17.639848709106445,,11.161378860473633,25.732397079467773,12.89714241027832
2008-01-31,98.36488342285156,13.526968955993652,,19.88259506225586,16.738906860351562,26.016990661621094,9.116829872131348,16.745330810546875,,10.420150756835938,24.64866065979004,12.941668510437012
2008-02-29,95.82286071777344,13.838481903076172,,21.725173950195312,14.837538719177246,25.489620208740234,8.685491561889648,16.702238082885742,,9.99239730834961,23.990381240844727,12.441161155700684
2008-03-31,94.49817657470703,13.601460456848145,,21.156692504882812,14.286087036132812,26.29825210571289,8.783528327941895,17.151649475097656,,10.080072402954102,22.798179626464844,12.202823638916016
2008-04-30,99.49232482910156,14.370797157287598,,23.420738220214844,15.408867835998535,27.191970825195312,9.335023880004883,17.11339569091797,,10.671954154968262,23.12799072265625,12.509259223937988
2008-05-31,100.99627685546875,15.118037223815918,,24.63832664489746,14.337602615356445,27.432109832763672,9.942975044250488,17.63329315185547,,11.054625511169434,23.568798065185547,12.85132884979248
2008-06-30,92.09475708007812,14.173789024353027,,25.34882164001465,11.73182487487793,24.020751953125,8.985943794250488,16.556354522705078,,10.891383171081543,22.466773986816406,11.327939987182617
2008-07-31,91.7237319946289,13.778092384338379,,21.371305465698242,12.63612174987793,24.324857711791992,8.791305541992188,17.032337188720703,,10.265807151794434,23.582836151123047,11.388975143432617
2008-08-31,93.14120483398438,13.563122749328613,,21.443130493164062,12.513442993164062,24.991859436035156,8.948644638061523,17.492328643798828,,10.15257740020752,24.069997787475586,12.17538833618164
2008-09-30,83.88422393798828,11.396434783935547,,18.18285369873047,11.619625091552734,21.85546875,7.807936191558838,17.156660079956055,,8.958320617675781,22.180416107177734,11.137481689453125
2008-10-31,70.43299102783203,8.896525382995605,,14.812198638916016,9.15951156616211,17.965200424194336,6.571692943572998,15.09550952911377,,7.862660884857178,19.723243713378906,9.205777168273926
2008-11-30,65.53038787841797,7.945775985717773,,14.489445686340332,7.466798782348633,16.488319396972656,6.019118785858154,15.064208984375,,8.19174575805664,18.477571487426758,8.20828628540039
2008-12-31,65.6395263671875,7.805052280426025,,13.766119003295898,7.384227275848389,16.709484100341797,6.082269668579102,14.939043045043945,,7.895296573638916,19.68618392944336,8.640933990478516
2009-01-31,60.738651275634766,7.316385269165039,,13.591318130493164,5.531067848205566,14.847518920898438,5.825141906738281,13.980969429016113,,7.981289386749268,19.567399978637695,7.782257080078125
2009-02-28,54.21235656738281,6.729267120361328,,11.914127349853516,4.549361228942871,12.318902969360352,5.602928161621094,12.851125717163086,,6.981565475463867,17.142921447753906,7.075876712799072
2009-03-31,58.31145095825195,7.715905666351318,,12.299392700195312,5.273669242858887,13.277043342590332,6.198142051696777,13.318209648132324,,7.036644458770752,18.06049156188965,7.931604862213135
2009-04-30,64.56330871582031,8.972197532653809,,13.32925033569336,6.487408638000488,15.827178001403809,6.879448890686035,13.968528747558594,,7.197910308837891,18.149972915649414,9.45152759552002
2009-05-31,68.33726501464844,9.496475219726562,,15.047085762023926,7.394309997558594,16.358139038085938,7.038974285125732,14.67965030670166,,7.454084396362305,19.38849639892578,9.382537841796875
2009-06-30,67.90887451171875,9.017630577087402,,13.990178108215332,7.2250237464904785,15.972652435302734,7.262303829193115,14.597114562988281,,7.7659478187561035,19.748788833618164,9.366304397583008
2009-07-31,73.38752746582031,10.232181549072266,,14.81377124786377,7.906468391418457,17.485204696655273,7.892082691192627,15.687729835510254,,8.150199890136719,21.024877548217773,10.298859596252441
2009-08-31,76.09844207763672,10.474635124206543,,14.974729537963867,8.933521270751953,18.319929122924805,8.020277976989746,15.879672050476074,,8.231870651245117,21.59067153930664,10.661579132080078
2009-09-30,78.423095703125,10.871692657470703,,15.779512405395508,9.079368591308594,19.286449432373047,8.360803604125977,16.289138793945312,,8.260031700134277,21.628398895263672,11.195469856262207
2009-10-31,77.28175354003906,10.352293968200684,,16.24056053161621,8.564967155456543,18.615781784057617,8.287261009216309,16.643850326538086,,8.077842712402344,21.268871307373047,10.96607494354248
2009-11-30,82.0428466796875,11.467268943786621,,16.702049255371094,8.936820983886719,20.249906539916992,8.74565601348877,17.255998611450195,,8.467649459838867,23.246488571166992,11.702054977416992
2009-12-31,83.16222381591797,11.640165328979492,,16.757905960083008,8.778325080871582,20.456018447875977,9.220132827758789,17.056245803833008,,8.826162338256836,23.541994094848633,12.172262191772461
2010-01-31,80.5713882446289,10.693365097045898,,16.10728645324707,8.676299095153809,20.2851505279541,8.45826244354248,17.04214859008789,,8.501961708068848,23.83201789855957,11.885231018066406
2010-02-28,83.08478546142578,11.175883293151855,,16.591981887817383,8.9822359085083,21.366836547851562,8.752847671508789,17.58203887939453,,8.389677047729492,23.923444747924805,12.547117233276367
2010-03-31,87.78144073486328,12.034473419189453,,16.99983787536621,9.759312629699707,23.144933700561523,9.321846008300781,18.16745948791504,,8.539390563964844,24.47962760925293,13.500897407531738
2010-04-30,89.5064926147461,12.08547592163086,,17.768192291259766,9.910338401794434,24.21298599243164,9.468920707702637,18.048460006713867,,8.841973304748535,23.606029510498047,14.342209815979004
2010-05-31,82.39478302001953,10.933459281921387,,15.733642578125,9.002711296081543,22.005046844482422,8.760475158691406,17.21233558654785,,8.353981971740723,22.069490432739258,13.333065032958984
2010-06-30,77.76164245605469,10.08722972869873,,14.734163284301758,8.469172477722168,20.3918399810791,8.258484840393066,16.657102584838867,,8.208744049072266,21.557310104370117,11.998523712158203
2010-07-31,83.4680404663086,11.431766510009766,,16.040748596191406,9.040070533752441,22.62877082824707,8.905217170715332,17.750328063964844,,8.914692878723145,21.9511661529541,12.991744041442871
2010-08-31,79.7136001586914,11.085346221923828,,15.254203796386719,8.333333969116211,21.059921264648438,8.405518531799316,17.421377182006836,,9.04384994506836,21.590049743652344,12.475214004516602
2010-09-30,86.38984680175781,11.706754684448242,,16.702157974243164,8.818831443786621,23.368371963500977,9.352102279663086,18.34244728088379,,9.211162567138672,23.42635726928711,13.805792808532715
2010-10-31,90.17030334472656,12.681099891662598,,17.730731964111328,8.967988014221191,24.163251876831055,9.928184509277344,19.062976837158203,,9.406478881835938,24.071983337402344,14.61708927154541
2010-11-30,90.17030334472656,12.823210716247559,,18.76932144165039,8.906397819519043,24.486133575439453,9.765095710754395,18.764799118041992,,9.121794700622559,23.37692642211914,14.986048698425293
2010-12-31,95.69512176513672,13.99658203125,,20.427465438842773,9.824139595031738,26.18311309814453,10.27068042755127,19.4207706451416,,9.293790817260742,24.326833724975586,15.508378982543945
2011-01-31,98.4398422241211,14.12139892578125,,21.991437911987305,10.137935638427734,27.350852966308594,10.634966850280762,19.302968978881836,,9.519091606140137,24.592754364013672,15.503938674926758
2011-02-28,101.85932922363281,14.496103286743164,,23.611860275268555,10.416109085083008,27.931982040405273,10.868207931518555,19.864412307739258,,9.636129379272461,25.361270904541016,16.433839797973633
2011-03-31,101.43096923828125,14.701826095581055,,23.975624084472656,10.131753921508789,28.430084228515625,10.663606643676758,19.998088836669922,,9.564107894897461,25.702844619750977,16.283723831176758
2011-04-30,104.82194519042969,15.063674926757812,,24.27654266357422,10.15207290649414,29.335744857788086,10.978835105895996,21.187416076660156,,10.04936408996582,27.48097801208496,16.965871810913086
2011-05-31,103.64639282226562,14.650870323181152,,23.259998321533203,9.817388534545898,28.5246524810791,10.863876342773438,21.71843719482422,,10.264531135559082,28.159412384033203,16.919857025146484
2011-06-30,101.39524841308594,14.510811805725098,,22.72909927368164,9.513692855834961,28.2290096282959,10.551834106445312,20.992473602294922,,10.14633846282959,27.707122802734375,16.823627471923828
2011-07-31,99.85950469970703,14.087919235229492,,23.145944595336914,9.20576286315918,26.418794631958008,10.63943862915039,20.868928909301758,,10.154862403869629,26.73797607421875,16.64790153503418
2011-08-31,94.36967468261719,13.098319053649902,,20.781387329101562,8.322501182556152,24.681926727294922,10.07469654083252,20.909547805786133,,10.375286102294922,26.173736572265625,15.774569511413574
2011-09-30,87.36646270751953,10.881908416748047,,17.714439392089844,7.345943927764893,22.259441375732422,9.728426933288574,20.07695198059082,,10.292628288269043,24.865055084228516,14.636713027954102
2011-10-31,97.40359497070312,12.836356163024902,,21.188215255737305,8.429767608642578,25.601442337036133,10.762678146362305,21.1612606048584,,10.778112411499023,26.44084358215332,16.43952751159668
