Date,rf_annual_pct,rf_monthly
2007-01-31,4.974999904632568,0.004145833253860473
2007-02-28,4.994999885559082,0.004162499904632569
2007-03-31,4.894999980926514,0.004079166650772095
2007-04-30,4.724999904632568,0.00393749992052714
2007-05-31,4.590000152587891,0.0038250001271565755
2007-06-30,4.670000076293945,0.0038916667302449546
2007-07-31,4.809999942779541,0.004008333285649617
2007-08-31,3.990000009536743,0.0033250000079472863
2007-09-30,3.700000047683716,0.003083333373069763
2007-10-31,3.819999933242798,0.0031833332777023316
2007-11-30,3.069999933242798,0.0025583332777023315
2007-12-31,3.140000104904175,0.0026166667540868122
2008-01-31,1.8700000047683716,0.0015583333373069763
2008-02-29,1.784999966621399,0.0014874999721844991
2008-03-31,1.274999976158142,0.0010624999801317851
2008-04-30,1.340000033378601,0.0011166666944821676
2008-05-31,1.850000023841858,0.0015416666865348816
2008-06-30,1.7050000429153442,0.00142083336909612
2008-07-31,1.6349999904632568,0.001362499992052714
2008-08-31,1.690000057220459,0.0014083333810170492
2008-09-30,0.8999999761581421,0.0007499999801317851
2008-10-31,0.4350000023841858,0.0003625000019868215
2008-11-30,0.019999999552965164,1.6666666294137637e-05
2008-12-31,0.11500000208616257,9.583333507180215e-05
2009-01-31,0.2199999988079071,0.00018333333233992258
2009-02-28,0.25,0.00020833333333333335
2009-03-31,0.20000000298023224,0.00016666666915019355
2009-04-30,0.125,0.00010416666666666667
2009-05-31,0.12999999523162842,0.00010833332935969035
2009-06-30,0.18000000715255737,0.00015000000596046448
2009-07-31,0.17499999701976776,0.00014583333084980645
2009-08-31,0.12999999523162842,0.00010833332935969035
2009-09-30,0.11500000208616257,9.583333507180215e-05
2009-10-31,0.04500000178813934,3.750000149011612e-05
2009-11-30,0.05000000074505806,4.166666728754839e-05
2009-12-31,0.05000000074505806,4.166666728754839e-05
2010-01-31,0.07000000029802322,5.833333358168602e-05
2010-02-28,0.11500000208616257,9.583333507180215e-05
2010-03-31,0.15000000596046448,0.00012500000496705373
2010-04-30,0.1550000011920929,0.00012916666766007743
2010-05-31,0.15000000596046448,0.00012500000496705373
2010-06-30,0.17000000178813934,0.00014166666815678279
2010-07-31,0.14000000059604645,0.00011666666716337204
2010-08-31,0.13500000536441803,0.00011250000447034836
2010-09-30,0.1550000011920929,0.00012916666766007743
2010-10-31,0.10999999940395355,9.166666616996129e-05
2010-11-30,0.1599999964237213,0.0001333333303531011
2010-12-31,0.11500000208616257,9.583333507180215e-05
2011-01-31,0.14499999582767487,0.00012083332985639572
2011-02-28,0.13500000536441803,0.00011250000447034836
2011-03-31,0.09000000357627869,7.500000298023224e-05
2011-04-30,0.03999999910593033,3.3333332588275274e-05
2011-05-31,0.03999999910593033,3.3333332588275274e-05
2011-06-30,0.014999999664723873,1.2499999720603227e-05
2011-07-31,0.09000000357627869,7.500000298023224e-05
2011-08-31,0.014999999664723873,1.2499999720603227e-05
2011-09-30,0.009999999776482582,8.333333147068818e-06
2011-10-31,0.004999999888241291,4.166666573534409e-06
2011-11-30,0.014999999664723873,1.2499999720603227e-05
2011-12-31,0.004999999888241291,4.166666573534409e-06
2012-01-31,0.054999999701976776,4.5833333084980645e-05
2012-02-29,0.07500000298023224,6.250000248352687e-05
2012-03-31,0.06499999761581421,5.416666467984518e-05
2012-04-30,0.09000000357627869,7.500000298023224e-05
2012-05-31,0.05999999865889549,4.999999888241291e-05
2012-06-30,0.07999999821186066,6.666666517655055e-05
2012-07-31,0.10000000149011612,8.333333457509678e-05
2012-08-31,0.08500000089406967,7.083333407839139e-05
2012-09-30,0.09000000357627869,7.500000298023224e-05
2012-10-31,0.10499999672174454,8.749999726812044e-05
2012-11-30,0.07500000298023224,6.250000248352687e-05
2012-12-31,0.03500000014901161,2.916666679084301e-05
2013-01-31,0.06499999761581421,5.416666467984518e-05
2013-02-28,0.10000000149011612,8.333333457509678e-05
2013-03-31,0.06499999761581421,5.416666467984518e-05
2013-04-30,0.04500000178813934,3.750000149011612e-05
2013-05-31,0.029999999329447746,2.4999999441206454e-05
2013-06-30,0.029999999329447746,2.4999999441206454e-05
2013-07-31,0.029999999329447746,2.4999999441206454e-05
2013-08-31,0.019999999552965164,1.6666666294137637e-05
2013-09-30,0.004999999888241291,4.166666573534409e-06
2013-10-31,0.032999999821186066,2.7499999850988386e-05
2013-11-30,0.054999999701976776,4.5833333084980645e-05
2013-12-31,0.06300000101327896,5.250000084439913e-05
2014-01-31,0.009999999776482582,8.333333147068818e-06
2014-02-28,0.0430000014603138,3.58333345502615e-05
2014-03-31,0.02800000086426735,2.3333334053556123e-05
2014-04-30,0.019999999552965164,1.6666666294137637e-05
2014-05-31,0.029999999329447746,2.4999999441206454e-05
2014-06-30,0.019999999552965164,1.6666666294137637e-05
2014-07-31,0.017999999225139618,1.4999999354283014e-05
2014-08-31,0.017999999225139618,1.4999999354283014e-05
2014-09-30,0.013000000268220901,1.0833333556850751e-05
2014-10-31,0.003000000026077032,2.50000002173086e-06
2014-11-30,0.004999999888241291,4.166666573534409e-06
2014-12-31,0.03700000047683716,3.083333373069763e-05
2015-01-31,0.004999999888241291,4.166666573534409e-06
2015-02-28,0.00800000037997961,6.6666669833163425e-06
2015-03-31,0.02500000037252903,2.0833333643774194e-05
2015-04-30,0.004999999888241291,4.166666573534409e-06
2015-05-31,0.003000000026077032,2.50000002173086e-06
2015-06-30,0.009999999776482582,8.333333147068818e-06
2015-07-31,0.057999998331069946,4.8333331942558286e-05
2015-08-31,0.003000000026077032,2.50000002173086e-06
2015-09-30,0.004999999888241291,4.166666573534409e-06
2015-10-31,0.06800000369548798,5.6666669746239976e-05
2015-11-30,0.17000000178813934,0.00014166666815678279
2015-12-31,0.14800000190734863,0.00012333333492279053
2016-01-31,0.30000001192092896,0.00025000000993410747
2016-02-29,0.30799999833106995,0.0002566666652758916
2016-03-31,0.19300000369548798,0.00016083333641290666
2016-04-30,0.19300000369548798,0.00016083333641290666
2016-05-31,0.28299999237060547,0.00023583332697550455
2016-06-30,0.24799999594688416,0.00020666666328907014
2016-07-31,0.23999999463558197,0.00019999999552965163
2016-08-31,0.3199999928474426,0.0002666666607062022
2016-09-30,0.25999999046325684,0.0002166666587193807
2016-10-31,0.29499998688697815,0.00024583332240581514
2016-11-30,0.46799999475479126,0.0003899999956289927
2016-12-31,0.47999998927116394,0.00039999999105930326
2017-01-31,0.5,0.0004166666666666667
2017-02-28,0.5230000019073486,0.0004358333349227905
2017-03-31,0.7379999756813049,0.0006149999797344208
2017-04-30,0.7799999713897705,0.0006499999761581421
2017-05-31,0.949999988079071,0.0007916666567325592
2017-06-30,0.9929999709129333,0.0008274999757607778
2017-07-31,1.0529999732971191,0.0008774999777475993
2017-08-31,0.9779999852180481,0.0008149999876817068
2017-09-30,1.027999997138977,0.0008566666642824809
2017-10-31,1.1230000257492065,0.0009358333547910056
2017-11-30,1.2380000352859497,0.0010316666960716247
2017-12-31,1.3550000190734863,0.0011291666825612387
2018-01-31,1.4299999475479126,0.0011916666229565937
2018-02-28,1.6180000305175781,0.0013483333587646484
2018-03-31,1.6699999570846558,0.0013916666309038799
2018-04-30,1.7630000114440918,0.00146916667620341
2018-05-31,1.8700000047683716,0.0015583333373069763
2018-06-30,1.8799999952316284,0.0015666666626930235
2018-07-31,1.9850000143051147,0.0016541666785875955
2018-08-31,2.055000066757202,0.0017125000556310018
2018-09-30,2.1500000953674316,0.0017916667461395262
2018-10-31,2.2780001163482666,0.0018983334302902222
2018-11-30,2.308000087738037,0.001923333406448364
2018-12-31,2.299999952316284,0.001916666626930237
2019-01-31,2.3399999141693115,0.0019499999284744265
2019-02-28,2.382999897003174,0.001985833247502645
2019-03-31,2.328000068664551,0.001940000057220459
2019-04-30,2.368000030517578,0.0019733333587646485
2019-05-31,2.2929999828338623,0.0019108333190282186
2019-06-30,2.0350000858306885,0.001695833404858907
2019-07-31,2.0299999713897705,0.0016916666428248087
2019-08-31,1.9329999685287476,0.0016108333071072898
2019-09-30,1.7699999809265137,0.0014749999841054278
2019-10-31,1.4980000257492065,0.0012483333547910055
2019-11-30,1.5399999618530273,0.0012833333015441894
2019-12-31,1.5049999952316284,0.0012541666626930236
2020-01-31,1.5099999904632568,0.0012583333253860473
2020-02-29,1.2300000190734863,0.001025000015894572
2020-03-31,0.029999999329447746,2.4999999441206454e-05
2020-04-30,0.09000000357627869,7.500000298023224e-05
2020-05-31,0.12800000607967377,0.00010666667173306148
2020-06-30,0.13500000536441803,0.00011250000447034836
2020-07-31,0.08299999684095383,6.916666403412819e-05
2020-08-31,0.0949999988079071,7.916666567325592e-05
2020-09-30,0.08500000089406967,7.083333407839139e-05
2020-10-31,0.08299999684095383,6.916666403412819e-05
2020-11-30,0.07500000298023224,6.250000248352687e-05
2020-12-31,0.06499999761581421,5.416666467984518e-05
2021-01-31,0.04800000041723251,4.000000034769376e-05
2021-02-28,0.03500000014901161,2.916666679084301e-05
2021-03-31,0.013000000268220901,1.0833333556850751e-05
2021-04-30,0.003000000026077032,2.50000002173086e-06
2021-05-31,0.00800000037997961,6.6666669833163425e-06
2021-06-30,0.03999999910593033,3.3333332588275274e-05
2021-07-31,0.03999999910593033,3.3333332588275274e-05
2021-08-31,0.03999999910593033,3.3333332588275274e-05
2021-09-30,0.02800000086426735,2.3333334053556123e-05
2021-10-31,0.04800000041723251,4.000000034769376e-05
2021-11-30,0.04800000041723251,4.000000034769376e-05
2021-12-31,0.032999999821186066,2.7499999850988386e-05
2022-01-31,0.17299999296665192,0.00014416666080554327
2022-02-28,0.2879999876022339,0.00023999998966852822
2022-03-31,0.49300000071525574,0.0004108333339293798
2022-04-30,0.8080000281333923,0.0006733333567778269
2022-05-31,1.0299999713897705,0.0008583333094914755
2022-06-30,1.600000023841858,0.0013333333532015484
2022-07-31,2.2980000972747803,0.0019150000810623168
2022-08-31,2.859999895095825,0.0023833332459131874
2022-09-30,3.180000066757202,0.0026500000556310016
2022-10-31,3.9749999046325684,0.00331249992052714
2022-11-30,4.252999782562256,0.0035441664854685465
2022-12-31,4.260000228881836,0.003550000190734863
2023-01-31,4.570000171661377,0.003808333476384481
2023-02-28,4.710000038146973,0.003925000031789144
2023-03-31,4.585000038146973,0.003820833365122477
2023-04-30,4.922999858856201,0.004102499882380167
2023-05-31,5.248000144958496,0.00437333345413208
2023-06-30,5.1529998779296875,0.0042941665649414065
2023-07-31,5.248000144958496,0.00437333345413208
2023-08-31,5.297999858856201,0.004414999882380167
2023-09-30,5.300000190734863,0.004416666825612386
2023-10-31,5.320000171661377,0.004433333476384481
2023-11-30,5.23799991607666,0.004364999930063884
2023-12-31,5.179999828338623,0.004316666523615519
2024-01-31,5.188000202178955,0.004323333501815796
2024-02-29,5.2230000495910645,0.004352500041325887
2024-03-31,5.203000068664551,0.004335833390553792
2024-04-30,5.244999885559082,0.0043708332379659015
2024-05-31,5.23799991607666,0.004364999930063884
